Dataset ID,Dataset Name,Field,Type,Mandatory or Optional requirement (MOR),Field Description,Schema,LCC Mapping,Schema Comments,Schema Data Rules Comment,FormatReference,Example
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Organisation Name,String,Optional,Name of the organisation that is the asset owner and if not the owner the main user of the asset.,LGA,,,Name of the Organisation's area coverage. Would be beneficial if added to all the datasets,Name of the Organisation's area coverage.,Lincolnshire
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Organisation Code,String,Optional,A unique code to identify the asset owning/using organisation.   For LAs this can be the URI from Open Data Communities.,LGA,,,,http://opendatacommunities.org/def/concept/folders/themes/geography,Lincolnshire County Council:  http://opendatacommunities.org/doc/geography/administration/cty/E10000019
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Published Date,DateTime,Optional,Date at which the information provided is true.,LGA,,,Include this field to show the publication date of the dataset (ie. the date on which the dataset's information is true).,https://www.w3.org/TR/NOTE-datetime,YYYY-MM-DDThh:mm:ss      eg:  2017-02-15T00:00:00
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Duration From,DateTime,Optional,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",LGA,,,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-04-01T00:00:00
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Duration To,DateTime,Optional,"Dataset time period end, or end of accounting/reporting period.",LGA,,,"Dataset time period end, or end of accounting/reporting period.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-06-30T23:59:59
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Latest Data,Boolean,Optional,TRUE where the data is the latest for the indicator.  Else blank.,LCC,,,,,TRUE
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Reporting Period Type,String,Mandatory,"The type of time period the data record covers (eg. Financial Year, Calendar Year, Month, Quarter)",LCC,,,"The type of time period the data record covers (eg. Financial Year, Calendar Year, Month, Quarter)",,"eg. Financial Year, Calendar Year, Month, Quarter"
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Period,String,Mandatory,Year(s) of the reporting period,LCC,,,,,2015-2016
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Geo Entity Name,String,Optional,Type of geographic area,LCC,,,,http://statistics.data.gov.uk/areas,County
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Geo Code,String,Optional,ONS geography identifier for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,E10000019
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Geo Name,String,Optional,ONS geography name for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,Lincolnshire
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Geo URI,String,Optional,ONS geography linked data URI for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,http://statistics.data.gov.uk/doc/statistical-geography/E10000019
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Persons (Number) Age 65 and over,Number,Mandatory,"Number of Hospital Admissions Age 65 and over, Persons",LCC,,,,,
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Persons (DASR) Age 65 and over,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Emergency Hospital Admissions per 100,000 population of Persons Age 65 and over",LCC,,1 Decimal Place,,,516.1
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Females (Number) Age 65 and over,Number,Mandatory,"Number of Hospital Admissions Age 65 and over, Females",LCC,,,,,
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Females (DASR) Age 65 and over,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Emergency Hospital Admissions per 100,000 population of Females Age 65 and over",LCC,,1 Decimal Place,,,552.3
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Males (Number) Age 65 and over,Number,Mandatory,"Number of Hospital Admissions Age 65 and over, Males",LCC,,,,,
30,"Emergency Hospital Admissions for Hip Fractures, Age 65 and over",Males (DASR) Age 65 and over,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Emergency Hospital Admissions per 100,000 population of Males Age 65 and over",LCC,,1 Decimal Place,,,509.8
