Dataset ID,Dataset Name,Field,Type,Mandatory or Optional requirement (MOR),Field Description,Schema,LCC Mapping,Schema Comments,Schema Data Rules Comment,FormatReference,Example
14,Deaths from All Causes,Organisation Name,String,Optional,Name of the organisation that is the asset owner and if not the owner the main user of the asset.,LGA,,,Name of the Organisation's area coverage. Would be beneficial if added to all the datasets,Name of the Organisation's area coverage.,Lincolnshire
14,Deaths from All Causes,Organisation Code,String,Optional,A unique code to identify the asset owning/using organisation.   For LAs this can be the URI from Open Data Communities.,LGA,,,,http://opendatacommunities.org/def/concept/folders/themes/geography,Lincolnshire County Council:  http://opendatacommunities.org/doc/geography/administration/cty/E10000019
14,Deaths from All Causes,Published Date,DateTime,Optional,Date at which the information provided is true.,LGA,,,Include this field to show the publication date of the dataset (ie. the date on which the dataset's information is true).,https://www.w3.org/TR/NOTE-datetime,YYYY-MM-DDThh:mm:ss      eg:  2017-02-15T00:00:00
14,Deaths from All Causes,Duration From,DateTime,Optional,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",LGA,,,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-04-01T00:00:00
14,Deaths from All Causes,Duration To,DateTime,Optional,"Dataset time period end, or end of accounting/reporting period.",LGA,,,"Dataset time period end, or end of accounting/reporting period.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-06-30T23:59:59
14,Deaths from All Causes,Latest Data,Boolean,Optional,TRUE where the data is the latest for the indicator.  Else blank.,LCC,,,,,TRUE
14,Deaths from All Causes,Period,String,Mandatory,Description of the three year rolling average period,LCC,,,,,2012-2015
14,Deaths from All Causes,Geo Entity Name,String,Optional,Type of geographic area,LCC,,,,http://statistics.data.gov.uk/areas,County
14,Deaths from All Causes,Geo Code,String,Optional,ONS geography identifier for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,E10000019
14,Deaths from All Causes,Geo Name,String,Optional,ONS geography name for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,Lincolnshire
14,Deaths from All Causes,Geo URI,String,Optional,ONS geography linked data URI for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,http://statistics.data.gov.uk/doc/statistical-geography/E10000019
14,Deaths from All Causes,Persons (Number) Deaths Under75,Number,Mandatory,"Number of Deaths Age Under 75, Persons",LCC,,,,,
14,Deaths from All Causes,Persons (DASR) Deaths Under75,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Deaths per 100,000 population of Persons Age Under 75",LCC,,1 Decimal Place,,,350.9
14,Deaths from All Causes,Females (Number) Deaths Under75,Number,Mandatory,"Number of Deaths Age Under 75, Females",LCC,,,,,
14,Deaths from All Causes,Females (DASR) Deaths Under75,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Deaths per 100,000 population of Females Age Under 75",LCC,,1 Decimal Place,,,260.3
14,Deaths from All Causes,Males (Number) Deaths Under75,Number,Mandatory,"Number of Deaths Age Under 75, Males",LCC,,,,,
14,Deaths from All Causes,Males (DASR) Deaths Under75,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Deaths per 100,000 population of Males Age Under 75",LCC,,1 Decimal Place,,,416.8
