Dataset ID,Dataset Name,Field,Type,Mandatory or Optional requirement (MOR),Field Description,Schema,LCC Mapping,Schema Comments,Schema Data Rules Comment,FormatReference,Example
43,Education Attainment: Key Stage 2,Organisation Name,String,Optional,Name of the organisation that is the asset owner and if not the owner the main user of the asset.,LGA,,,Name of the Organisation's area coverage. Would be beneficial if added to all the datasets,Name of the Organisation's area coverage.,Lincolnshire
43,Education Attainment: Key Stage 2,Organisation Code,String,Optional,A unique code to identify the asset owning/using organisation.   For LAs this can be the URI from Open Data Communities.,LGA,,,,http://opendatacommunities.org/def/concept/folders/themes/geography,Lincolnshire County Council:  http://opendatacommunities.org/doc/geography/administration/cty/E10000019
43,Education Attainment: Key Stage 2,Published Date,DateTime,Optional,Date at which the information provided is true.,LGA,,,Include this field to show the publication date of the dataset (ie. the date on which the dataset's information is true).,https://www.w3.org/TR/NOTE-datetime,YYYY-MM-DDThh:mm:ss      eg:  2017-02-15T00:00:00
43,Education Attainment: Key Stage 2,LatestData,Boolean,Optional,TRUE where the data is the latest for the indicator.  Else blank.,LCC,,,,,TRUE
43,Education Attainment: Key Stage 2,Duration From,DateTime,Optional,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",LGA,,,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-04-01T00:00:00
43,Education Attainment: Key Stage 2,Duration To,DateTime,Optional,"Dataset time period end, or end of accounting/reporting period.",LGA,,,"Dataset time period end, or end of accounting/reporting period.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-06-30T23:59:59
43,Education Attainment: Key Stage 2,Reporting Period Type,String,Mandatory,"The type of time period the data record covers (eg. Financial Year, Calendar Year, Month, Quarter)",LCC,,,"The type of time period the data record covers (eg. Financial Year, Calendar Year, Month, Quarter)",,"eg. Financial Year, Calendar Year, Month, Quarter"
43,Education Attainment: Key Stage 2,Reporting Period,String,Mandatory,Year(s) of the reporting period,LCC,,,,,2016-2017
43,Education Attainment: Key Stage 2,Geo Entity Name,String,Optional,Type of geographic area,LCC,,,,http://statistics.data.gov.uk/areas,County
43,Education Attainment: Key Stage 2,Geo Code,String,Optional,ONS geography identifier for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,E10000019
43,Education Attainment: Key Stage 2,Geo Name,String,Optional,ONS geography name for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,Lincolnshire
43,Education Attainment: Key Stage 2,Geo URI,String,Optional,ONS geography linked data URI for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,http://statistics.data.gov.uk/doc/statistical-geography/E10000019
43,Education Attainment: Key Stage 2,Year,DateTime,Mandatory,Year,LGA,,,,http://calendars.wikia.com/wiki/ISO_8601,"1994, or 2017"
43,Education Attainment: Key Stage 2,Polarity,String,Mandatory,"Shows either:  high value good, or low value good",LGA,,,,,
43,Education Attainment: Key Stage 2,KeyStage2PupilsNumber,Number,Mandatory,Number of Pupils in the school year,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2BoysNumber,Number,Mandatory,Number of Boys in the school year,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2GirlsNumber,Number,Mandatory,Number of Girls in the school year,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2AttainmentPupilsNumber,Number,Mandatory,Number of Pupils attaining,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2AttainmentBoysNumber,Number,Mandatory,Number of Boys attaining,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2AttainmentGirlsNumber,Number,Mandatory,Number of Girls attaining,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2AttainmentPupilsPercentage,Number,Mandatory,Percentage of Pupils attaining,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2AttainmentBoysPercentage,Number,Mandatory,Percentage of Boys attaining,LCC,,,,,
43,Education Attainment: Key Stage 2,KeyStage2AttainmentGirlsPercentage,Number,Mandatory,Percentage of Girls attaining,LCC,,,,,
