Dataset ID,Dataset Name,Field,Type,Mandatory or Optional requirement (MOR),Field Description,Schema,LCC Mapping,Schema Comments,Schema Data Rules Comment,FormatReference,Example
15,Deaths from All Cancers,Organisation Name,String,Optional,Name of the organisation that is the asset owner and if not the owner the main user of the asset.,LGA,,,Name of the Organisation's area coverage. Would be beneficial if added to all the datasets,Name of the Organisation's area coverage.,Lincolnshire
15,Deaths from All Cancers,Organisation Code,String,Optional,A unique code to identify the asset owning/using organisation.   For LAs this can be the URI from Open Data Communities.,LGA,,,,http://opendatacommunities.org/def/concept/folders/themes/geography,Lincolnshire County Council:  http://opendatacommunities.org/doc/geography/administration/cty/E10000019
15,Deaths from All Cancers,Published Date,DateTime,Optional,Date at which the information provided is true.,LGA,,,Include this field to show the publication date of the dataset (ie. the date on which the dataset's information is true).,https://www.w3.org/TR/NOTE-datetime,YYYY-MM-DDThh:mm:ss      eg:  2017-02-15T00:00:00
15,Deaths from All Cancers,Duration From,DateTime,Optional,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",LGA,,,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-04-01T00:00:00
15,Deaths from All Cancers,Duration To,DateTime,Optional,"Dataset time period end, or end of accounting/reporting period.",LGA,,,"Dataset time period end, or end of accounting/reporting period.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-06-30T23:59:59
15,Deaths from All Cancers,Latest Data,Boolean,Optional,TRUE where the data is the latest for the indicator.  Else blank.,LCC,,,,,TRUE
15,Deaths from All Cancers,Period,String,Mandatory,Description of the three year rolling average period,LCC,,,,,2012-2015
15,Deaths from All Cancers,Geo Entity Name,String,Optional,Type of geographic area,LCC,,,,http://statistics.data.gov.uk/areas,County
15,Deaths from All Cancers,Geo Code,String,Optional,ONS geography identifier for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,E10000019
15,Deaths from All Cancers,Geo Name,String,Optional,ONS geography name for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,Lincolnshire
15,Deaths from All Cancers,Geo URI,String,Optional,ONS geography linked data URI for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,http://statistics.data.gov.uk/doc/statistical-geography/E10000019
15,Deaths from All Cancers,Persons (Number) Deaths Under75,Number,Mandatory,"Number of Deaths Age Under 75, Persons",LCC,,,,,
15,Deaths from All Cancers,Persons (DASR) Deaths Under75,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Deaths per 100,000 population of Persons Age Under 75",LCC,,1 Decimal Place,,,160.2
15,Deaths from All Cancers,Females (Number) Deaths Under75,Number,Mandatory,"Number of Deaths Age Under 75, Females",LCC,,,,,
15,Deaths from All Cancers,Females (DASR) Deaths Under75,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Deaths per 100,000 population of Females Age Under 75",LCC,,1 Decimal Place,,,141.7
15,Deaths from All Cancers,Males (Number) Deaths Under75,Number,Mandatory,"Number of Deaths Age Under 75, Males",LCC,,,,,
15,Deaths from All Cancers,Males (DASR) Deaths Under75,Number,Mandatory,"Directly Age-Standardised Rate (DASR) of Deaths per 100,000 population of Males Age Under 75",LCC,,1 Decimal Place,,,176.4
