Dataset ID (DSID),Dataset Name,Field,Type,Mandatory or Optional requirement (MOR),Field Description,Schema,LCC Mapping,Schema Comments,Schema Data Rules Comment,FormatReference,Example
1,Parking Penalty Charge Notices (PCNs),Organisation Label,String,Optional,Name of the organisation that is the asset owner and if not the owner the main user of the asset.,LGA,,,Name of the Organisation's area coverage,,Lincolnshire
1,Parking Penalty Charge Notices (PCNs),Organisation URI,String,Optional,A unique code to identify the asset owning/using organisation.   For LAs this can be the URI from Open Data Communities.,LGA,,,URI weblink for the Organisation,http://opendatacommunities.org/def/concept/folders/themes/geography,Lincolnshire County Council:  http://opendatacommunities.org/doc/geography/administration/cty/E10000019
1,Parking Penalty Charge Notices (PCNs),Published Date,DateTime,Optional,Date at which the information provided is true.  This field contains the publication date.,LGA,,,Include this field to show the publication date of the dataset (ie. the date on which the dataset's information is true).,https://www.w3.org/TR/NOTE-datetime,YYYY-MM-DDThh:mm:ss      eg:  2017-02-15T00:00:00
1,Parking Penalty Charge Notices (PCNs),Latest Data,Boolean,Mandatory,TRUE where the data is the latest for the indicator.  Else blank,LCC,,,,,
1,Parking Penalty Charge Notices (PCNs),Duration From,DateTime,Optional,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",LGA,,,"Dataset time period start, or start of accounting/reporting period.  DurationFrom will always include a Time of 00:00:00.",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-04-01T00:00:00
1,Parking Penalty Charge Notices (PCNs),Duration To,DateTime,Optional,"Dataset time period end, or end of accounting/reporting period.  DurationTo will always include a Time of 23:59:59",LGA,,,"Dataset time period end, or end of accounting/reporting period.  DurationTo will always include a Time of 23:59:59",http://calendars.wikia.com/wiki/ISO_8601,YYYY-MM-DDThh:mm:ss      eg:  2017-06-30T23:59:59
1,Parking Penalty Charge Notices (PCNs),Reporting Period Type,String,Mandatory,"The type of time period the data record covers (eg. Financial Year, Calendar Year, Month, Quarter)",LCC,,,"The type of time period the data record covers (eg. Financial Year, Calendar Year, Month, Quarter)",,"eg. Financial Year, Calendar Year, Month, Quarter"
1,Parking Penalty Charge Notices (PCNs),Month,DateTime,Mandatory,Month of the data,LCC,,,,http://calendars.wikia.com/wiki/ISO_8601,2017-09
1,Parking Penalty Charge Notices (PCNs),Geo Entity Name,String,Optional,Type of geographic area,LCC,,,,http://statistics.data.gov.uk/areas,County
1,Parking Penalty Charge Notices (PCNs),Geo Code,String,Optional,ONS geography identifier for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,E10000019
1,Parking Penalty Charge Notices (PCNs),Geo Name,String,Optional,ONS geography name for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,Lincolnshire
1,Parking Penalty Charge Notices (PCNs),Geo URI,String,Optional,ONS geography linked data URI for the geography in which the data is located,LCC,,,,http://statistics.data.gov.uk/areas,http://statistics.data.gov.uk/doc/statistical-geography/E10000019
1,Parking Penalty Charge Notices (PCNs),Total Number Of PCNs Issued,Number,Mandatory,The total number of Penalty Charge Notices issued in the reporting period,LCC,,,,,
1,Parking Penalty Charge Notices (PCNs),Number Of Challenges Reviewed,Number,Recommended,The total number of challenges Reviewed in the reporting period,LCC,,,,,
1,Parking Penalty Charge Notices (PCNs),Number Of Challenges Granted,Number,Recommended,The total number of challenges Granted in the reporting period,LCC,,,,,
1,Parking Penalty Charge Notices (PCNs),Percentage Of Challenges Granted,Number,Recommended,Percentage of challenges Reviewed that were Granted in the reporting period,LCC,,,,,
